sentence,label
雞腿酒釀鮭魚以及麥冬ＸＸ焢肉ＸＸ是因為我忘記名字了坐定位後會,neu
先送上養生茶不過我喝不出來是什麼哈餐點有飯一碗主菜一份湯一,neu
盅以及水果一大甕不誇張水果真的很大一甕檸檬香煎雞腿是由檸檬,neu
香茅為香料的一道菜雞腿皮煎的酥脆肉鮮嫩多汁；酒釀鮭魚則是由甜酒釀,neu
製味道十分特殊不知道怎麼形容；而焢肉光用看的就垂涎欲滴顏色非常的,neu
美麗吃起來不油膩且十分爽口兩個人會有一份小菜昨日的小菜是木耳筍,neu
子胡蘿蔔湯則是筍子及木耳熬煮的湯很清爽朋友說這家的料理方式有,neu
些偏港式因為都是以較費時的熬煮方式來料理這也是為什麼會有兩道菜需要,neu
前一天事先預定的原因其他餐點我朋友說也都很好吃所以我下一次應該會,neu
找機會再去吃吃看,neu
另外廁所也很不錯唷很喜歡觀察別人的廁所哈洗手抬旁插了一,neu
大桶的野薑花而個別的廁所裡也有總之整間廁所的野薑花香十分濃郁,neu
其實店裡的藥材也蠻新鮮的唷如果有需要中藥是也可以買一下啦還有店,neu
其中杏仁露超濃郁的,opi
孜然羊肉串好吃扇貝皇帝螺整顆烤等等,opi
開放式的部分有生菜沙拉生菜的部分有加冰塊感覺還蠻新鮮的,opi
服務態度很好點菜換網都很快,opi
挖屋上餐真快但是,opi
鬼馬炒牛肉我喜歡吃牛肉,opi
另外再叫一些點心叉燒酥很好吃前提是要吃剛出爐的,opi
但是每次都吃的很撐才在後悔怎麼叫這麼多就是了XD,opi
比翠亨村便宜而且點心比較好吃所以就變成常去非常棧,opi
不相同深色的是酸梅汁味道紮實,opi
淺色的是蘋果汁雖然不見得是新鮮現打,opi
費的附湯飲料也可感到老闆的用心而且每吃過一道,opi
J的主菜是焗海鮮飯香濃的起司份量不少的海鮮,opi
焗海鮮飯而最特別的,opi
海鮮味之外還有不被蓋掉,opi
但口感實在有點像快餐店的炸排骨幸好裡頭的牛肉還不錯而上頭也是舖,opi
此也有值得一提之處,opi
說真的這是家口味雖然不太好,opi
用烤的酥脆的法國麵包上製放以橄欖油攪拌均勻的蕃茄丁大蒜和蘿勒略帶酸甜再灑上parmesancheese提味這一冷一熱的交錯倒也是清爽的開胃菜,opi
parmesancheese提味這一冷一熱的交錯倒也是清爽的開胃菜,opi
如果品質菜色沒提升真的很不值得去,opi
看起來醃得不甚入味菜看起來很生所以才放得多味道才夠,opi
麻辣鍋底還蠻香的但我覺得還是不夠辣我們點中辣,opi
鍋底有許多辛香料和提味的蔥蒜不過久煮後會出現苦味所以湯無法喝；,opi
鴨血很嫩但大小控制得不太好有些切得過大而無味,opi
但是仍然不來我們的態度沒有很強硬或是不得當,opi
但是一個多小時經過湯遲遲不來真的讓人很不悅,opi
女服務生是不耐煩的回我們要再等一下,opi
之後完全不理會我們不送食材給我們或是故意讓我們等上一個小時,opi
$328+1成服務費等兩個小時才吃到東西花得很不值得,opi
後來我們覺得有點出乎我們預算就只好跟服務生說下次再來了,opi
肉羹也真的是肉下去做的不是魚漿混碎肉做出來的,opi
但是以價位來說實在太貴,opi
小小一碗麵就要NT40元肉羹沒幾塊香菇也沒有幾片,opi
加上老闆娘的態度實在不敢領教,opi
而且店內的環境實在是太不衛生了Ojz,opi
不過他的雞捲還真的蠻推薦的只是也跟肉羹麵一樣貴,opi
我大概是看了圖片很漂亮才點的鮭魚飯團上面淋上蕃茄醬和蜂蜜芥末醬味道普通,opi
我的濃湯一點味道登沒有不知道是忘記放鹽還是主食的味道過重一點都不好喝,opi
土瓶蒸的味道也還好比我的好一點不過有一點苦味在喉嚨裡,opi
小的一份才25元裝的超多爆米花的裝到袋子都快跟爆米花一樣爆開了,opi
但整體價錢上都直得推薦啊,opi
就如名字他有賣糖地瓜也有賣魯味兩樣都很好吃重點是--超便宜,opi
但是便宜歸便宜地瓜也是超好吃的唷真不知該怎麼形容地瓜的好吃耶,opi
至於她們賣的魯味也是一級棒特別是喜歡她們的醬汁搭配她們的魯味鹹鹹的非常對味,opi
賣的也很便宜每次買一點點就吃的很飽,opi
ps老闆跟老闆娘看起來有點'呆呆'的就是但重點是東西好吃啦,opi
他的蜜汁燒烤甜度適中非常的好吃而且味道很香光聞味道就夠讓你留口水了,opi
總之--好吃就是而且特別的是還會加一點胡椒不怪卻很對味,opi
前一陣子在宏揚路上一間天使洗衣店門口有個老婆婆魯味也滿好吃的,opi
同樣宏揚路上也是在辣熱魯對面的蔥抓餅也很好吃唷,opi
她們的蔥抓餅會加九層塔做起來很香很好吃說老闆也很風趣,opi
洋蔥湯喝起來很甜又帶點焦香味上面的酥皮烤的很香脆,opi
我個人喝酥皮湯的習慣不會將酥皮整個浸到湯汁裡我偏愛一口酥皮搭配一口湯,opi
就是愛有點脆有點軟的口感阿,opi
再來是沙拉裝盤的很漂亮喔而且而且它的盤子是冰的沒錯真是一整個有誠意阿,opi
我挑的是櫻桃醬本來想像的口感是稍微偏酸的但其實不是口味算是中規中矩,opi
不會太酸或太甜而且保留了櫻桃的香味搭配起來蠻好吃的算是推薦喔,opi
跟一些我不認識它的菜水果都很甜但可惜的是蔬菜有些吃起來會苦,opi
但整體來說還算是我蠻喜歡的一道菜喔,opi
鳥地方吃到南瓜麵讓我有點懼怕南瓜的經驗這一次的南瓜濃湯本想全由SHIRO解決但看,opi
麵放一旁保溫等到客人點餐時再伴炒醬料口感盡失,opi
今天的消費確實讓我很滿意也覺得很開心喬治義大利麵的價格雖然比義麵坊貴了些但,opi
過熟也是不錯的設計不過只有兩片的杏鮑菇有點小氣青江菜搭配黑胡椒醬還不錯,opi
我一向喜歡冷飲又不喜歡咖啡點果汁在我的年齡與性別好像怪怪的所以選紅茶茶的味道普通,opi
還不錯的餐廳一個人七百多到九百的消費是有點小貴但是牛肉的肉質應值回票價,opi
東西種類非常的少,opi
去消費的時候明明點豬肉裡面卻還有已經退冰到爛掉的羊肉或牛肉,opi
而且所有用豬肉製成的火鍋料都有一個臭味,opi
噁的不得了服務員都還不知,opi
上面那一層厚厚的油是衝三小,opi
原來沒有味道的肉那麼噁心,opi
湯是油的味道,opi
可以煮出有史以來前所未有震驚世人無可匹敵的難吃拉麵,opi
太單薄了與魚肉相較少了一股深遂與富含內蘊的飽滿感覺這說起來很玄,opi
價格比這家還貴卻是又少又噁心的感覺囧rz,opi
醋飯握的稍微差了些不過至少不會死硬白肉魚和,opi
鐵火捲則嫌普通了些而且芥茉抹的稍多些,opi
味噌湯@15普通喝的出來是現煮的不是煮了一大鍋在那邊撈的,opi
湯號稱牛肉蔬菜但是只有一個小得可憐的肉,opi
