sentence,label
鮪魚幕斯這個也不錯吃用鮪魚打成幕斯只是口味有點太淡了,1
Soupexpress的簡餐不少當然NT250只是其中一種價格雖然價格上貴了些但一家店吃的出用心那到是下次在來A4的好選擇之一,0
個人覺得處理的不是很好有些許的腥味在不是很喜歡,1
另外我朋友點了酸辣抄手$50,0
整個吃完80元,0
原本的餐200元,0
指定牛排的熟度可惜這裡不行也是一塊一塊煎好直接放在大鐵盤上面任人夾,1
旁邊有炸蝦醬汁還不錯加了點分數回來所以有七十七分,1
價位範圍每人：50100,0
那個咖哩牛肉捲也是壞的\,1
以他的價位來說做出這樣味道的麵真的是物超所值,1
沙拉區就生菜沙拉類的大概就是一般常見的苜宿芽萵苣玉米石蓮花,0
反正車子已經停好就隨便找間店吃吃,0
麵上來時第一印象是份量很大,0
雖然外觀看起來很平實,0
豬肉陶板鍋我沒嚐不知道味道怎樣,0
餐點不出色服務態度也不太妙如果沒意外這是不會再去第二次的店,0
酸酸甜甜的和風醬更是一絕整道沙拉無懈可擊,1
開始先上一盤小菜拌牛蒡或皇帝菜選一,0
若是有喜歡吃咖哩的鄉民可以去試試看,0
這時我就覺得失望了真的很失望,1
過一點都沒有辣味是和他處的五更腸旺最大的不同,0
一進去就被菜單嚇倒的我們三人,0
跟現在的涮涮鍋都用電磁爐比起來有點怪,0
女服務生是不耐煩的回我們要再等一下,1
種口感不過A倒覺得可能是老闆故意處理成這樣方便客人夾,0
日本料理區東西有夠少最令我失望的是竟然沒有握壽司,1
口味相當清爽不過外觀有點醜,1
重點是服務品質和上菜過程簡真爛到不可理喻的田地,1
以前都吃九福不過現在真的覺得頗貴的,1
愛店實在難吃得不像話而後來我跟老公去吃過之後也實在覺得兩,1
黑豆豆花的顏色雖然不太吸引人不過感覺很養生,1
青菜品質非常差讓我不想再去,1
還有店員很可愛XDDD這張不清楚哈哈可是真的很可愛有其他板友有吃新美食廣場的餐點的話也請來分享一下心得吧,0
飯上頭放著切薄片的玻璃肉旁邊有放一顆酸梅還有一點點很特別的豆子,1
芋泥捲其實我不知道這道點心的名字啦不過應該是日式大福之類的吧,0
米腸不推,1
一次對於康莊小吃滿滿的菜單深感興趣的J&A雖對上次吃的,0
酒精度不會很濃對不太喜歡喝酒的我來講味道剛剛好,1
店面照聽店員說位置分配得有點不好,0
看起來醃得不甚入味菜看起來很生所以才放得多味道才夠,1
牛肉河粉--70元：涮過的牛肉片配上洋蔥和九層塔灑上胡椒搭配濃郁的湯頭讚,1
我總共付了105,0
因為喬麥麵有個味道讓我很想死,1
我個人滿喜歡的表哥也覺得不錯算是一盤有誠意的沙拉,1
是蠻過癮的單點有點小貴就是了濃湯和主餐的份量吃下來就我來說蠻撐的我不算?食量小的人喔所以當時並沒有把附贈的果凍吃掉事後回家拿出來吃才曉得Soup,0
水果很少阿真的很少而且事實上還真的不怎麼好吃,1
餡料原本是起士焗雞肉或蔬菜的卻完全沒有焗出來的香味,1
炒麵本來就是我的最愛只要口味重一點熱熱的我最很喜歡吃,1
第二顆有一點點小腥味不過不是都這樣的嗎,1
除了蝦餃之外其他的我沒碰跟平常茶樓吃的蝦餃不同它的蝦餃小小一個,0
這次再度拜訪麻豆小鎮的美食,0
配上去就是覺得怪,1
要去的人可能要找一下,0
看看其實華納這裡的價位都差不多,0
以不甚深的大圓盤盛出除了基本的海鮮很意外的我還看到魚板海鮮的量不多,1
火鍋有蔬菜鍋泡菜鍋麻辣鍋麻油鍋兩百塊起跳,0
小泡芙以為裡面包冰淇淋其實是冷凍奶油,1
店裡還有賣很多茶包,0
牛排不過抱怨歸抱怨還是不錯吃不過就沒焗海鮮飯來得好吃雖是如,1
價位範圍每人：３２９烤肉＋火鍋,0
棒棒棒炒得火候剛剛好菜也很嫩很新鮮調味調的只能用完美來形容,1
的日式烏龍麵加了旁邊的蔥花和辣粉湯頭更有味道也吃了涼拌蕨菜口感也是鮮甜吃完,1
有的歐巴桑不太高興我們在那邊吵,0
首先偷吃了一口,0
那份鬆餅竟然讓我覺得滿飽的一般女生大概兩個人吃差不多,0
我的冰奶茶也蠻好喝不會太甜所以喝不會膩,1
以一個正常男生的午餐而言算很多的,0
的出用心那到是下次在來A4的好選擇之一,0
虎皮捲蛋糕體冰過後稍硬沒有虎皮捲鬆軟的感覺,0
烤肉方面也是正常不過我覺得他們的醬算還ｏｋ蠻好吃的啦,1
總之我們是點了三個義大利麵,0
真的是恰到好處極為討喜的金黃色澤酥脆又完全不油膩但內餡的味道太薄不夠搶眼,1
第三個是被我ａ來的滑蛋培根麵／兩百八十元,0
飲料區果汁有紫蘇梅柳橙總共三樣可以選擇還有汔水飲料至於熱飲部分,0
小讓我覺得這家古早三明治如此特殊的獨家調味啊,1
魯牛肚不曉得是不是因為我牙齒變差了感覺魯的不夠久還有些韌度,1
店的差不多沒有什麼feel而且整個點心區只有一根夾子很多人都和我一樣,1
還好有先買一盒甜甜圈安撫一下傷心的胃XD,0
缽中大半隻的龍蝦份量紮實,1
店家有些不太一樣,0
燙青菜用的則是大陸妹配上醬油膏很好吃唷,1
雞肉加莎莎醬雞肉不香嫩莎莎醬味道不夠,1
只好跟朋友換他的麵,0
原湯抄手$50,0
熱炒和火鍋我也沒碰不過看食材都還蠻新鮮的扣掉師父的手藝不談的話,0
烤的兩邊不均勻一邊很明顯有生肉的顏色是這個熟度剛好會嫩嫩水水的再多烤肉就會乾,1
在師大附中附近,0
美奶滋烤扇貝扇貝上淋上美奶滋烘烤而成看起來豪華氣派但其實份量不多,0
至於怎麼調我就不知道啦p,0
a因為是慶功宴嘛而且一大票人去吃吃到飽如果就默默的吃完然後離開,0
蛋糕餅乾區蝴蝶是一個嗜甜食如命的人所以每樣蛋糕餅乾都吃了,0
只要來過A4館的人都知道來此吃飯只要了號碼牌坐在位置上就有服務員為你送上餐點,0
Soupexpress和之前介紹過的SweetandSweet同屬風尚公司系列以西式養生健康搭,0
這家店賣的東西頗合我的口味和喜好,0
取而代之的是微甜的滋味加上肉質鮮嫩的雞肉雖然最近有禽流,1
義大利麵一盤約是兩百五至四百五,0
可能會吃到的水準而真正品嚐過後超過我所想像的水準但是也覺得使用折價的感覺,1
但他最近了店名本來是草本集現在叫草本茶集,0
鮮嫩多汁我覺得很軟很容易入口而且現場作很棒,1
這家是在BurgerKing再過去一家的DennisDeli,0
而吃較貴的套餐的客人才能進去餐廳裡面吃這是什麼道理自動先把客人分等級嗎,1
現場去看卻又芳蹤杳然燒鴨感覺上沒什麼入味因為我只吃到一點點醬汁的味,1
冰淇淋泡芙基本上蝴蝶一個人吃了四五個泡芙但是完全都只是把內餡的,0
更別說是葷是素了或是誰的套餐了也是一問三不知超了不起的,1
有空會再去吃吃看他們的火鍋吧,0
第二個是我點的緹魚香蒜麵／兩百八十元,0
價位範圍每人：高級平均約450元像我跟朋友去吃大概都350元吃完超飽ㄚ,1
上桌還滾得直冒泡泡的五更腸旺大腸和鴨血都燉得軟爛沾上鍋,0
根和蕃茄和一般Casersalad不同在於口味重了些,1
麵煮得過軟而且其實也只有微辣的程度,0
跟朋友共三人前去,0
湯太鹹柳橙汁是濃縮的我們都沒喝完,1
冬天快到了他們的養生鍋也很有名我還沒吃過,0
跟行銷方式都很對我的胃口價格也不過份坐下前跟老闆娘聊了幾句她笑起來真的,1
齊排好增添了不少質感,1
燒賣這個我覺得普普就是很普通的燒賣,1
在地下超市買了一罐十四元的可樂,0
肋眼牛排-好好的美國牛排點五分竟然跟我說看來不是廚師有問題就是肉不怎麼樣,1
干貝唇如果要比喻的話大概就像是安潔莉娜的嘴唇吧算是干貝中的性感美唇十分豐厚,1
喝下去不會口乾反而覺得很有滋味,1
我們全家都很愛吃,1
鍋子我覺得應該比三媽大因為它是U型的鍋子,0
愛吃黑醋的我當然就拿來加,0
照片在以下網址歡迎蒞臨指教對於新鮮事兒有火熱興趣的J等不及週末在週五晚上就殺去吃,0
因為太-----吵-----,0
整個吃完有種自虐的快感_,0
吃到不下二十樣的菜色前提是要你夠會吃其實我還蠻喜歡它的海鮮料理的,0
最近我去吃的這一兩年開始30元米粉羹也開始更不好吃了,1
怎麼說呢肉絲和蛋都發揮了應有的水準就是肉香和蛋香,0
之前去的時候好像有五六點花草茶可以選的這次只看到紅茶包和綠茶包,0
鍋底有許多辛香料和提味的蔥蒜不過久煮後會出現苦味所以湯無法喝；,1
種類是蠻多的但是肉的部份幾乎大部份的肉類都是泡在血水之中-_-|||,1
我們在吵的時候,0
真的好吃推薦,1
上海生煎包雖然皮很厚但很綿柔底部煎黃的色澤看起來很高雅,1
配著白飯吃真的很好吃喔辣辣鹹鹹的可以讓人吃下好幾碗飯,1
果汁都是真的水果下去打,0
沒什摸客人動作超慢我後來就很不高興低說可以幫我們找一下位子ㄇ？,1
*炸響鈴*,0
章魚涼拌沙拉：章魚切片給得大方但沙拉放太多了所以中午時間,1
心情好或心情差時都喜歡去那帶幾個蛋糕回家不管怎樣都要吃就對了,0
芹菜的嗆味還蓋過蒜味吧,0
鍋子裡一樣是湯很多,0
冷掉以後味道就更不怎麼樣了,1
並和朋友share紅油抄手$50,0
且這樣的皮雖然薄但真的極有嚼勁呢,1
店面看起來頗漂亮,0
價位只有200跟220兩種,0
ADD：新竹市東南街291號,0
第三個『烤咖哩牛肉飯』就是焗烤咖哩飯,0
飲料一杯,0
冷盤區以海鮮冷盤種類較多印象中還有壽司牛腱醉雞雞胗,0
所以喝不太出來本來的味道怎樣,1
味道不錯價錢平實,1
總共這三盤不怎麼樣的義大利麵,1
很快的我的餐點來了主食日式牛肉蔬菜墩飯頗讓我驚訝的是在於牛肉相當嫩不,1
火鍋料--貢丸好吃花枝丸不推蛋餃魚餃蝦餃燕餃就跟一般的一樣,1
還有放些素肉素羹,0
而不該僅僅有著肉味就好,1
不過蝴蝶去了這麼多次倒還沒上過二樓用過餐改天有機會一定要上去看看的,0
感覺反而很不過癮,1
山藥莎拉好吃而且也滿養生的,1
糯米皮反而顯得有點甜不過外皮揉入了濃濃的牛奶香並灑上了椰子粉,0
我沒有特別注意snowtoya講的外帶調味料,0
至於水餃我覺得沒有很大顆耶@@,0
熱食區這家餐廳的優點吧不像一般吃到飽的餐廳每一道熱食吃完後補上的菜餚,0
我們算是路過就順道進去吃了,0
茶是養生茶有些桂圓紅棗和其他中藥,0
我不喜歡吃鴨血所以不清楚是不是鴨血本身就應該要吃起來有血的味道,0
我這次試過的感想也真的覺得口味是偏較清淡沒錯,1
味道也很不錯,1
芒果奶酪有達到一般水準份量也適中畢竟我們才剛吃完豬肋排又喝了湯,1
星期二就軟了好多口感變得很不好,1
價位範圍每人：220500左右,0
我推薦香柚蘋果汁蕃茄梅蜜汁,1
水煮蝦蝴蝶的最愛蝦子不大隻但也不小氣沾上芥末醬油嗆得喉嚨足又過癮,0
份量不少口感也紮實不過名為麻婆豆腐不知為什麼和五更,0
這間店我們吃下來cp值頗低的雖然經營者很用心感覺廚師不太好,1
好像沒看過版上有介紹,0
圖文在中山路一帶本來要去吃麻辣婆婆但因要等太久而做罷,0
一個中年有點胖胖的,0
今天的濃湯是洋蔥湯味道普通沒有洋蔥炒出來的甜味應該是沒有炒透吧,1
糖醋魚切成小塊的魚肉我實在很難從它的屍體看出它是屬於哪一類的魚種,0
我們很喜歡吃它的香蜂草雞腿飯的飯,0
只是真的不喜歡什錦水果那種甜味,1
但是未免太大塊了要分好幾口咬不然是吞不下去的,1
全部不用250元,0
淡水機場稱之為機場是因為餐廳的外觀是一架737的飛機而得名,0
今天去吃他們的豬肉加鮪魚片鍋270元日式湯底,0
我們分別點了小火鍋陶板鍋和砂鍋：,0
最最重要的是全場吃到最好吃的東西是快炒區的炒龍鬚菜,1
就是炸抄手啦,0
湯頭就有點不是那麼讓人滿意可能是我一向對味精敏感湯裡的味精讓喝完,1
次的選擇「農夫蔬菜湯」甜點則是「果凍」,0
單點的咖哩牛肉捲：剛上的時候只覺得聞起來的味道怪怪的,1
因為我們只有兩個人女店員建議我們點竹筴魚魚依舊新鮮肉質多汁就連,1
感覺有點隨便豬小排和羊排也是同樣的狀況只是比較起來羊排最好吃,1
另外雖然我們都坐在禁菸區,0
們前面那一桌的阿伯發飆了對服務生開罵嫌上菜速度太慢,1
香椿拌麵80素腩麵90,0
味道有點怪怪好像酸掉的沙拉,1
但也不怎麼好喝就是了,1
辣辣的口感很對我的脾胃讓我期待接下來的主菜,1
他們是以飲料店起家的,0
上面淋有黃瓜絲香菇絲的,0
哇都是我愛吃的東西耶,0
至少在我最愛的鮭魚這項食材上就有點小失望因為油脂實在太少了,1
好像很多人不知道搬到那裡,0
可是其實每一區的東西種類都不多,0
過了一段時間皮的酥脆相當恰到好處而且包括皮本身都有一種特殊的香氣,1
高麗菜豬肉則是不太特別,1
最後的心得是以這樣高的價位吃到的東西卻沒達到那價格該有的水準,1
然後服務生就像遊魂一樣遊盪在各個角落．．．,0
而且麵煮過軟基本上就淘汰囉,1
了由於我和妹妹都餓壞了當下就轉戰新光美食的另一戰區--B2美食廣場,0
便利商店三明治滿足度實在是高得太多了,1
我覺得相當划算,0
沒加水什麼的根本就沒被服務到啊,0
現在的蔥又很貴,1
酸辣湯接著送來,0
大人會捨不得給小孩吃的唷好吃到無法形容比到大陸吃頂級大閘蟹還棒,1
很多人都是因為它的雞腿而點,0
有個奶油貝類的還不錯吃可以給八十五,1
服務生收盤的速度也蠻快的,0
飲料就果汁一般可樂雪碧芬達雀巢檸檬茶普通普通,1
腹部的部分也是甘甘甜甜的很不錯,1
猛吃肉的結果是很膩根本很難吃的多更重要的是,1
所以衛生真的很差,1
不過是全熟的有點失望不過咖哩醬汁很少以焗烤方式製作,0
正中間還有加一個荷包蛋一起下去烤烤起來有個蛋黃在正中央,0
小了許多很新鮮簡單的薑絲蒜絲就帶出魚肉鮮美的滋味了,0
以前瑪莉亞的店XIPASTA店址那間,0
*巧克力幕斯幕斯有點太軟了不知道是不是放室溫太久的關係還不錯吃,1
小碗三十元就是一碗公了,0
放醬料的地方蠻特別的友人說像是神桌拿來改裝@@,0
就是到處都吃得到的口味,0
心得對我來說份量不大不過對一般女生應該剛好吧下次應該不會再去吃吧,1
蘑菇莎拉看起來還滿多菇的吃起來的味道滿奇怪的@@不會形容,1
然後三明治忘了照法國三明治原本以為是一般的法國麵包,0
手工餅乾味道就像外面大賣場賣的那種冷凍長條狀可以買回家自己烤的餅乾,0
由於店內通常只有一位店員所以要算帳要幫客人點蛋糕要包裝好像忙不太過來,0
表面烤得酥脆的那一種結果都沒有果然跟想像有落差,1
感覺那種海鮮的甜味黏在你的喉頭久久不散旁邊的蝦腦味道更加濃郁讓人欲罷不能,1
而沙母的卵香是香但似乎有點普通,1
順帶補充一點他的飯都是已經做好的咖哩飯顏色皆為黃色,0
看起來它的生意沒有很好,1
對不起啊當時在場的客人們,0
*川味擔擔麵*,0
鍋類200240,0
發現很多餐廳都是虛有其表而且阿打廣告的不見得就一定很好吃,1
感覺不太起眼,0
後來花了一點時間才到家約半小時多擁擠的公車飄滿了豬排的香氣；到家,1
裡面有蘿蔔黃瓜絲香菇絲,0
鬆餅非常紮實四大片真的逼近三公分厚@,0
六種口味的冰淇淋讓客人自己挖取可惜沒有我愛吃的酥杯,0
這個很好喝完全超乎附餐的飲料價值,1
真的蠻腥的而且好像又加了美奶滋感覺蠻膩的,1
整體來說最特別的應該就是山東醋了吧p,0
至少比較特別嘛,0
倒是想試試看他的披薩,0
剩的是插起來軟軟的蛋皮感,1
還有它的口味偏重,1
每次去Julian's小小的一間店總是擠著十來個人在裡面運氣好人會比較少,0
首先麵還是過軟,0
也能放心將茄子煮透而不怕煮爛,0
express的用心略酸的果凍是來幫助飯後的消化的,0
不過如果我以後有錢的話,0
比白醋則多了點醇厚的感覺,0
如果你又是跟蝴蝶一樣喜歡吃海鮮料理的人這家餐廳是個可以考慮的地方,0
骨肉分離」鮮嫩而不老不像家裡燉到爛最後老掉的排骨肉真,1
一個賣10元老闆人非常親切,0
飲料若換成其他果汁就是果汁的半價,0
女友強力推薦蔬果沙拉也是同樣新鮮據說是店內招牌,1
聽說梅子醋比較好喝,1
今天晚上去吃了西門町的『咖哩達人』,0
其他都普普通通還是七十分不過有道花椒螃蟹還什麼的給八十五分相當不賴,1
真的是甜香飽滿樣樣都顧到了糕也是屬於SOSO的,1
不知道是不是大家討論的那間怖麻怖辣,0
三媽的是像迷你炒菜鍋,0
應該是將豆腐絞碎之後再去調味,0
不過我還是要推一下以那種價格是個值得一吃的店,1
質感很硬的咖啡凍味道還OK,1
少了點口味還不錯,1
可能是我們點的菜口味和預期的有出入所以除了沙茶牛肉外,0
湯也不是一般的紅燒它是清燉的只喝一口就想再喝一口很鮮很潤滑,1
除了高麗菜牙外還有杏鮑菇和鮮香菇坐陪很快的就掃進我的肚子裡了,1
微微的辣﹝真希望它再辣一點﹞,0
我的豬肉砂鍋還不錯不過湯鹹了點,1
前一天事先預定的原因其他餐點我朋友說也都很好吃所以我下一次應該會,1
之前是在精誠路上,0
薯條及義大利麵也表現普普義大利麵方面當天吃的是青醬口味應該是購買一般,1
包子很大可是肉很少肥肉太多普普通通,1
豆腐湯就比較普通但也不算很遜,1
下次還想來吃吃看它的其他東西,0
腸旺一般一點兒也沒有辣味口味雖然不錯對期待辣味的A,0
老實說以現在素食貴成這樣來講,0
但是你們不用理他們,0
中央部份的瓷盤熟食區一起給分好了七十就是普普通通的意思,1
喝湯就好了」我連忙說「我知道你們的紅糟雞很好吃,1
服務方面就服務生沒什麼表情問它有沒有飲料的杯子他就默默的拿給我嗯,0
相當於一人只要210真的算很便宜,1
以平常日一個人399+10%的價位其實還挺划算的而且推出的菜色也不算少,0
吃的到果肉的,0
不過蕃茄清湯很甜我預期的酸味不甚明顯甜但卻不會有膩的感覺,1
鮑魚一看就知道是鮑魚罐頭不過我還是夾了兩片,0
所以沒帶相機嗚”,0
假日500+10%,0
點了香椿拌麵,0
在這裡還要偷偷說一個好消息雖然很多老饕一定知道,0
濃湯上頭灑上一些很細很細的綠色粉末但是味道不明顯嚐不出來是什麼,1
麵包除了特別的口感外還有一種香味,0
現賺八十六元P,0
感覺有用心可是並不好吃價位偏貴,1
好吃我吃的是白醬的醬很香濃不過因為份量不算多所以也不會膩,1
就簡餐來說感覺配菜有點冷清,1
論裝潢氣氛食物精緻度就算把價格也考量進去這家店絕對是逸園地區的翹楚,1
*起司蛋糕老爺的起司蛋糕真的好吃味道很濃郁搭配著熱咖啡超好吃的,1
從頭到尾對服務的不良印象和心情是會完全抹殺對美食的態度和感覺的,1
屬於小吃店的價位,0
再加服務費就要將近九百元,0
他的鍋燒意麵沒有很大碗,1
聽說還有一家『魔法咖哩』也不錯下次在去試試看,0
價位範圍每人：三百以上,0
排餐點了豬肋排和培根菲力豬肋排肉質還不錯但醬料味道過重,1
不過味道沒有很強烈清清淡淡的,1
喜歡吃韓國菜的應該會喜歡很有道地的家庭風味,1
跟魚翅湯比起來頗清淡但還是不錯喝魚當然還是不認識啦,1
詳細地點之前有人PO過了我不再重複,0
第一個『歐母蛋牛肉飯』就是類似滑蛋的作法,0
呵呵我覺得比台中好吃說我吃的那個口味啦,1
只是一群同事約要吃飯說不去就太過意不去了OS我不想沒朋友啊,0
了主食另可自選湯品原先預選的蟹肉濃湯似乎搏得不少的青睞很快就賣光了退其,0
紅油抄手麵$55,0
但個頭超乎想像,1
不過以套餐整體而言算的上色香味俱全又划算了,1
仿若果凍般滑溜順口連不喜歡生魚片的我都停不了筷子,1
3有時候新的店員會有點兇兇的,1
每次到用餐時刻也都很多人,0
鮮捲並非現作的大概只是熱一下而已其它的泰菜都沒有入味如檸檬魚,1
食物就可以很美味了,0
所以也不錯吃而且cheese撲得夠多每一口都可以舀到cheese然後還牽絲所以還不賴,1
記得第一次吃是在3年前那時口感還不錯接著一次比一次差,1
說真的有點貴所以如果不是真的非常非常非常想吃的話可以省下這部分的錢,1
賣到三百真的很坑人,0
鬆餅有鮪魚水果草莓三種份量都超大的真正端上來跟櫥窗裡的一模一樣@@,0
今天去華納發現以前在一樓的美食廣場搬到二樓去了,0
紅糟雞麵不但胃滿足連身體都暖和起來很有家的味道：,1
奶油冰淇淋挖出來吃掉外皮根本連碰都不碰OS真是個澳客+浪費食物,0
沾醬比較特別的是有一種香料粉可以試試看跟平常沾醬油沙茶不一樣,1
就點了$150的鮪魚鬆餅,0
薄咖哩也普普所附的玉米濃湯也很普通都沒啥特別之處就是,1
整潔乾淨讓人感覺挺舒服的,0
蛋香整盤炒飯可說是口口美味光吃蛋炒飯就是一種享受,1
麻婆豆腐倒是神奇的一道豆腐是口感較粗的豆腐芡汁中的肉末,0
其他就還好正常,0
比較大而且包的餡料很香很好吃,1
現在的招牌有點不顯眼,0
前菜蝦子蔬菜莎拉還不錯蝦子很鮮甜蘑菇莎拉做的不好吃,1
不過呢,0
燙青菜先送來,0
價位範圍每人：簡餐80100,0
茶碗蒸大推裡面有好多蛤蠣和香菇好鮮好好吃喔,1
不過其實我很少吃吃到飽因為其實點定食份量就很多了,1
我寧願花150去吃冰館至少沒人對我們大小聲芒果也多,1
覺得沒什麼特別的,1
有一次回家我媽叫我來吃說變的不錯吃耶什麼什麼的,1
一開始是一道烤飯糰飯糰烤了一下外表微焦就烤可以吃了不過味道還好,1
今天晚餐去吃船老大感覺真的還好,1
菜都是冷的耶每樣配菜都是冰冰涼涼真是summer酷勒,1
胖胖度直逼冬粉可是又沒有冬粉膨軟我很不喜歡這種莫名其妙的口感p,1
該店價位雖然比一般的刷刷鍋價位高,1
既不好吃價格又比較貴,0
只是有點酸讓我覺得相當嘔,1
他還有另外賣肉包也不錯,1
蝦肉鮮美嚼勁十足自然的清甜味沁入心脾,1
還是被菸味熏到頭暈腦脹,0
同樣的人山人海一位難尋我兩使出等字訣好不容易坐定下來心裡有底的我當然是,0
著起司一起吃還滿對味的,1
